Identifier,Name,BondType,Country,Sector,Value,Scope1,Scope2,Scope3,AssetClass
FI00QJ087HBA,Bradley-Davis,Corporate,Slovenia,Capital Goods,303691845.83595663,1121.0949576023181,4326.804364683122,,FixedIncome
FI00RC025QBF,"Pugh, Henderson and Moon",Government,Belgium,,1686891379.7377162,141648.44897892594,661.063653819594,6189180.763861326,FixedIncome
FI00RD159AFP,"Gonzalez, Harrison and Washington",Government,Spain,,1636170833.8134851,10560.259577028448,6491.568561420611,190210.60051188426,FixedIncome
FI00RK596AUP,Huang Group,Corporate,Mauritius,Household & Personal Products,165206166.40271735,30.431797443551627,1316.9833215422907,,FixedIncome
FI00SE033EZU,Baker-Curry,Corporate,Pakistan,Retailing,23361530.46563019,7550.58117676179,15370.56096123594,,FixedIncome
FI00SE672SIW,Harper and Sons,Government,Portugal,,,196798.68769605647,327.40012392213373,44697.628642515745,FixedIncome
FI00SG413EIV,Stokes and Sons,Corporate,Venezuela,Insurance,173198748.13669682,984.6086801816192,1002.6858649777724,,FixedIncome
FI00SI692BDX,Ingram-Miller,Corporate,Morocco,Utilities,23750510.420241155,6801.992888281238,2219.3690077550796,,FixedIncome
FI00SM150KXL,Parker-Johnson,Corporate,Mauritius,"Pharmaceuticals, Biotechnology & Life Sciences",17738882.01855803,530.232670499454,17856.494495885458,11602.272217659442,FixedIncome
FI00SZ339KDM,Ramos-Baker,Corporate,India,,715410231.703699,,11500.642303587614,3637840.4050716385,FixedIncome
FI00TC367OWG,Quinn Ltd,Government,Thailand,,156108452.40547392,19411.854875989942,22131.520943093514,,FixedIncome
FI00TD734KVL,Bishop and Sons,Government,Poland,,4399656.674901403,37819.836881871335,,,FixedIncome
FI00TG223CVO,Burgess Ltd,Corporate,Latvia,Diversified Financials,38524994.27524807,,,,FixedIncome
FI00TP148FFZ,Johnson-Jimenez,Government,Czech Republic,,191794340.25211638,6490.6198696745705,47808.85398455376,,FixedIncome
FI00VW084AVD,Mccarty Group,Corporate,Gibraltar,,27047714.20852279,2064029.1910710249,,1958.8120104071588,FixedIncome
FI00VY349MGY,Ruiz Inc,Government,Colombia,,2604016423.5982494,21.541691769734168,2513.588848561259,236746.05689054195,FixedIncome
FI00WG719JUR,"Brooks, Dunlap and Carter",Government,Turkey,,1952237373.0284288,8765.729064857052,12925.526215754138,,FixedIncome
FI00WI004WSE,"Haynes, Mcbride and Gutierrez",Corporate,Papua New Guinea,Software & Services,71482804.57587974,131.4160570047393,747.8694845168609,,FixedIncome
FI00WR115XPV,Rodriguez-Graham,Government,Costa Rica,,335157472.1155894,7936.7244200443665,4033.1303677687756,362.40543332182204,FixedIncome
FI00WX844DIG,Gill Ltd,Corporate,Uganda,,196841421.21678707,175615.2697167583,,63315.82097922174,FixedIncome
FI00XE968KGP,Young Inc,Corporate,Bahamas,Household & Personal Products,3018081833.2087913,709.0695037694401,,2201725.21644447,FixedIncome
FI00YG335IVV,"Jackson, Rowland and Barrett",Government,France,,11124677431.965143,416.8480236044468,,,FixedIncome
FI00YG589DNK,Marshall-Miller,Corporate,Bulgaria,Insurance,5821855.958530881,13975.198765394522,,287133.51694380696,FixedIncome
FI00ZA418ZHI,Holland-Smith,Government,Ukraine,,1603883.6451973887,7501.306722357089,13586.319500206118,,FixedIncome
FI00ZD838WHG,Reynolds and Sons,Corporate,Tanzania,Commercial & Professional Services,377421119.9162581,6010.8833926258285,86128.93174670807,7491.41441276381,FixedIncome
FI00ZL656QTX,Cooper-Price,Corporate,Saudi Arabia,Technology Hardware & Equipment,,270.596342482409,5225.893504500208,215193.55280038517,FixedIncome
FI00ZY033RSK,Delgado-Sullivan,Corporate,India,Consumer Services,114381252.2607046,1729.065909971872,6247.39214597443,,FixedIncome
FI01AQ372MAO,Moore-Rodriguez,Corporate,Saudi Arabia,"Food, Beverage & Tobacco",64859737.64444946,22164.807009830765,125841.67821814136,31726.129708281234,FixedIncome
FI01AQ587LKH,"Hensley, Powell and David",Corporate,Hong Kong,Consumer Durables & Apparel,,73041.58210097892,3858.2907799867335,27328.57429157619,FixedIncome
FI01AR589DOC,Ramos-Wallace,Government,Puerto Rico,,131166672.6805202,,468.1069268693591,491046.49762260733,FixedIncome
FI01AT313DAI,Thomas Group,Corporate,Ukraine,Media & Entertainment,,10838.57588271142,1079.1236306216301,,FixedIncome
FI01BC588ZMO,Williams LLC,Government,Papua New Guinea,,336080318.4619121,1791.6295334283016,4018.1890622710084,123706.50946670058,FixedIncome
FI01BF634UKD,Weaver PLC,Government,Mozambique,,3687509333.982927,,36395.54628925958,3654.9678360622083,FixedIncome
FI01BI603AIF,Taylor and Sons,Corporate,Mexico,Transportation,24728056685.03683,38854.56113016841,142144.1579545907,532.0495879055848,FixedIncome
FI01BL475JTA,French Group,Corporate,Romania,Banks,768991956.9921045,49471.37337299375,,,FixedIncome
FI01BL856TYO,"Torres, Ross and Brown",Government,United Arab Emirates,,628014404.5960468,6421.101217537913,,31515.3588389516,FixedIncome
FI01BN621TXJ,Vargas Ltd,Government,U.S. Virgin Islands,,53300835.34734813,1349.4309892435288,436.34586812045904,,FixedIncome
FI01BP511FAZ,Lindsey-Little,Corporate,Pakistan,Energy,2092582132.8598552,24507.557565093917,31508.672901370883,13933.897662227402,FixedIncome
FI01BW702KVV,Garcia LLC,Corporate,Cayman Islands,Capital Goods,460459982.5015402,291.8238465713291,2560.9567737617467,462579.9452945163,FixedIncome
FI01BX244YVP,Sloan-Lynch,Corporate,Zimbabwe,Utilities,167501741.6297847,3133.0636096584885,11727.577728994884,3319.168581309813,FixedIncome
FI01BY189DVD,Villarreal-Oneill,Corporate,Mexico,Diversified Financials,59337304.717803046,60.97809054342754,163.70098693794114,,FixedIncome
FI01CH384PTJ,"Douglas, Smith and Jordan",Government,Switzerland,,7181229.697912234,527.6909583611364,5535.237444063273,6569.104688335185,FixedIncome
FI01DF046ULA,"Price, Long and Wilson",Government,Papua New Guinea,,693000336.2397397,244.31013294353042,14227.668012424203,,FixedIncome
FI01DO583ASK,Dominguez Ltd,Corporate,Bermuda,Telecommunication Services,,619.4837720164214,43930.188799372176,36588.385717657955,FixedIncome
FI01DT709FWP,"Jacobs, Levy and Mclaughlin",Government,South Korea,,58879162.12726953,23809.448097053282,20325.744357209125,,FixedIncome
FI01DW192GEU,Francis-Mann,Corporate,Cambodia,Capital Goods,42521009.9041545,116393.0825659878,,,FixedIncome
FI01EK245RWO,"Hodges, Robbins and Adams",Corporate,Gibraltar,Food & Staples Retailing,58808171.77880276,161933.57355555886,6513.182012468014,,FixedIncome
FI01EL211CIS,"Crane, Freeman and Hall",Government,Latvia,,155803376.75733903,8629.669836757974,15509.730997179604,181581.40257119338,FixedIncome
FI01EL637ZIG,"Sanders, Ayala and Johnson",Government,Colombia,,,7434.952756675297,369.1642938030071,,FixedIncome
FI01EU074XGC,"Mayer, Fowler and Livingston",Corporate,Sri Lanka,Utilities,534812827.66718435,121443.953651624,2783.630439398335,52721.99662527162,FixedIncome
FI01EY235XBP,"Gill, Stewart and Nichols",Corporate,South Korea,Retailing,,72.4244313058507,151264.09402223665,,FixedIncome
FI01FB508QWO,Harrington-Armstrong,Government,Papua New Guinea,,154360132.7666845,1730.2541701432312,749.5357367282801,,FixedIncome
FI01FG626JKN,Reed Inc,Government,Bermuda,,227912970.78568155,3783457.4070772287,,111769.9938396847,FixedIncome
FI01FU523WMV,Ryan-Steele,Government,Mexico,,25409952.093307037,32672.67419648359,256.7912124954832,466263.4333882313,FixedIncome
FI01GE820YYV,"Parker, Ortiz and Powell",Government,Venezuela,,5354086.951236725,9273.130654301027,,,FixedIncome
FI01GV125RSX,Rose-Fowler,Government,Qatar,,2482450669.3557987,91000.34537767207,7607.194877158879,36438.50555438851,FixedIncome
FI01HC781SBW,Waters-Smith,Corporate,Uganda,,172424448.7881447,1008.0893912294572,338.9428262357364,54637.03388142377,FixedIncome
FI01IJ410MRF,"Lane, Silva and Hamilton",Corporate,Samoa,Automobiles & Components,10069642.45966893,65.91072677664812,14352.087223056962,21276.017479571707,FixedIncome
FI01IW052FUN,Thomas Ltd,Government,Zimbabwe,,34688932.77549328,5823.529206228011,3063.87779732421,,FixedIncome
FI01JB179HCA,Cox-Rodriguez,Government,China,,,31906.87897060543,44262.027817154536,72270.32346749396,FixedIncome
FI01JJ393UXV,Dawson-Morgan,Corporate,Bermuda,Software & Services,53679946.66832469,420.43364483729545,2188.435925338541,,FixedIncome
FI01JK367WKZ,Smith PLC,Government,Japan,,72605480.84172952,17621.58998805368,13859.652326927486,69955.94712613257,FixedIncome
FI01JP031MRP,Harvey-Barrett,Government,Sweden,,2906373561.883102,4785.056117641787,33332.77732763298,,FixedIncome
FI01JW490AKS,"Curry, Acosta and Elliott",Corporate,Canada,Insurance,1287749568.6758418,102465.82676057778,70795.5779139029,1033351.3951232876,FixedIncome
FI01KO146TET,"Wolf, Allen and Long",Corporate,Liechtenstein,Software & Services,34903309.77003766,1882.1900809275116,800.0623837913524,,FixedIncome
FI01LB496TSE,Foster-Smith,Corporate,Kazakhstan,"Food, Beverage & Tobacco",174798604.08395183,17835.189952383018,5084.587827056705,275588.58964793006,FixedIncome
FI01LM695DUJ,Chang PLC,Government,Anguilla,,428369581.9251061,11343.72945461928,192.31506335350463,,FixedIncome
FI01LQ099YFX,Landry Ltd,Corporate,Slovenia,Retailing,57536246.968018,768.4850544679342,137939.96264635163,,FixedIncome
FI01LQ332ZKD,Aguilar-Bender,Government,Burkina Faso,,3563329709.9794607,14580.532359663013,3579.952849292404,,FixedIncome
FI01LQ843ZMO,"Willis, Brown and Brown",Government,Kuwait,,476783540.57270414,23747.006118855006,17420.71175707462,2840418.3116662344,FixedIncome
FI01MN312NCT,Hart-Baker,Government,United Arab Emirates,,10059373233.077526,48604.782910982765,336.7958975088043,137.8065086595521,FixedIncome
FI01MU033OSY,Neal-Holden,Government,Cambodia,,1300201827.8777347,444.53616790064945,2616.6632339742264,1216109.2350845847,FixedIncome
FI01NR891JIS,Moon-White,Corporate,United Arab Emirates,Automobiles & Components,10615176.904968351,6253.578156854654,5154.540862660878,35989.72219513934,FixedIncome
FI01NU320DVZ,"Ward, Scott and Gallagher",Corporate,Morocco,Transportation,29482227.863702495,4420.917259391554,25308.11697086673,,FixedIncome
FI01OD150ZSE,"Powell, Taylor and Adams",Corporate,Benin,,687570886.553055,,7810.490381249387,,FixedIncome
FI01OH889QBY,"Stevens, Rose and Skinner",Corporate,Latvia,Utilities,116105059.37402728,686933.1160690952,6623.305472564174,33882.99784882695,FixedIncome
FI01OI886CHO,Davis-Johnson,Corporate,Norway,Food & Staples Retailing,112459607.20632775,38896.785860444135,16777.34542138663,,FixedIncome
FI01OS426CXY,"Hanson, Young and Harris",Government,Netherlands,,159207108.4024406,,,442.6927836346577,FixedIncome
FI01OT971HBE,Evans-Briggs,Corporate,Azerbaijan,Consumer Services,16310692799.14305,24591.26785617437,100016.85839102494,,FixedIncome
FI01PG602VMG,"James, Gonzalez and Harrison",Government,Malaysia,,25549290.707363147,1882.3439338535302,149433.25516813717,79217.07621155205,FixedIncome
FI01PP331RNL,Hernandez-Campbell,Corporate,Australia,Health Care Equipment & Services,684795813.6251363,275289.71827655385,,39561.76661871102,FixedIncome
FI01PQ848PVN,"Cunningham, Elliott and Tyler",Government,Kyrgyzstan,,162462983.5475302,328.7628540771823,6220.375754488157,22816.916987046458,FixedIncome
FI01PS532WSQ,Martin Inc,Government,Samoa,,33044270.541879945,1964.0664660991786,,2582721.0940815266,FixedIncome
FI01PU149UEQ,Adkins-Meyer,Corporate,Thailand,Materials,16831207.309054196,16967.362052244833,322523.9190393959,,FixedIncome
FI01PW672IZG,Cohen Group,Government,Indonesia,,15013585.101237753,30035.476208385404,199.70957762451332,829.9851708486618,FixedIncome
FI01PY573TNO,Trevino and Sons,Corporate,Ivory Coast,"Food, Beverage & Tobacco",,383.24901891194185,689.3572680673336,56290.6104490883,FixedIncome
FI01QO039UQP,Wilson-Young,Corporate,Serbia,Automobiles & Components,4435569823.240238,,,,FixedIncome
FI01QP596WJA,Carson Group,Government,Mozambique,,40732727282.01744,1470.5862289483782,4491.654793793999,,FixedIncome
FI01RM052VIC,Decker Inc,Corporate,Norway,Real Estate,279927988.6136564,,21202.132508897077,,FixedIncome
FI01RM199KSP,Parker-Williams,Government,Kazakhstan,,4592578309.204177,1630.684356165211,333.4024544213555,40903.21054883663,FixedIncome
FI01RX239DHY,"Smith, Zimmerman and Wise",Government,Dominican Republic,,37839588.48468726,1355.9230092747948,379.0211571268869,,FixedIncome
FI01SC751YKE,Gomez-Parrish,Government,Belgium,,1276479410.7050347,16.97007350746351,2556.8760404962554,,FixedIncome
FI01SE495JAZ,Morris-Carroll,Corporate,Zimbabwe,Telecommunication Services,150069595336.35324,61572.05829760522,45923.61431066418,30061.450977801273,FixedIncome
FI01TB661TJT,Mills-Baird,Government,Uganda,,86213636.78183524,13217.44229322586,67976.8270672379,,FixedIncome
FI01TC789ARF,Donovan-Huang,Government,Zimbabwe,,77167450.23299687,155.87553883256356,520.9051022577194,52087.51513705458,FixedIncome
FI01TH621BUJ,Hall LLC,Government,Turkey,,170950938.70965523,304.8260573207946,4709.057415045194,169379.68718532447,FixedIncome
FI01TJ450KRY,"Garcia, Hall and Tapia",Government,Senegal,,9615991357.174788,1148.1614331758165,18249.617248474893,4587.075346686701,FixedIncome
FI01TL310BQF,Smith PLC,Corporate,Ireland,Technology Hardware & Equipment,103319983.63554856,,,51219.24622721835,FixedIncome
FI01TW225UAB,"Bennett, Jones and Miller",Corporate,United Arab Emirates,Consumer Services,275658605.9879031,15832.238078183274,,1756344.6795174778,FixedIncome
FI01TX201QGW,Khan Ltd,Corporate,Zimbabwe,Software & Services,10767283759.06085,4467.238816942943,1278.1493128780323,,FixedIncome
FI01UH198ILH,Flores LLC,Corporate,Mali,Automobiles & Components,46248711.950358205,4386.8281435044155,1387.7732280850719,12747.403149971866,FixedIncome
FI01UK600UMP,Wall-Johnson,Government,British Virgin Islands,,1484174923.307042,17383.24123853788,1403.8821873657946,252707.6733685485,FixedIncome
FI01UV192RCY,"Soto, Alexander and Cobb",Corporate,Croatia,Consumer Durables & Apparel,272765871.87615377,57950.43060340547,17817.653673994086,96132.38006817142,FixedIncome
FI01VA049VGG,Jordan and Sons,Corporate,Hungary,Capital Goods,4678175.450064813,305.30221291114765,,71199.58469628132,FixedIncome
FI01VD546NLK,Carroll-Lloyd,Corporate,Macedonia,"Food, Beverage & Tobacco",42435201.78982706,,20719.500576293485,,FixedIncome
FI01VM604RUE,"Schmidt, Anderson and Petersen",Government,Kyrgyzstan,,,804.850046133808,,210413.91660719234,FixedIncome
FI01VV857XRQ,Montgomery Inc,Corporate,Trinidad and Tobago,Technology Hardware & Equipment,7183512.116000833,83.86306833075066,7756.793303614948,9957.87403014651,FixedIncome
FI01WB736FUP,Yang-Davis,Corporate,Finland,Telecommunication Services,58592131.16971452,243402.75679946312,486.11142687160844,,FixedIncome
FI01WU081UPJ,Curtis-Henderson,Corporate,France,Health Care Equipment & Services,115953364.44159141,9074.564670119467,,,FixedIncome
FI01WV825BAW,Hayes-Parks,Corporate,Hong Kong,Materials,,1331.7146743894762,5999.73170471197,,FixedIncome
FI01WW961PXR,Stephenson Ltd,Corporate,Macedonia,"Pharmaceuticals, Biotechnology & Life Sciences",8820506415.861399,159.57912720402172,,391436.5756188491,FixedIncome
FI01XG361ECS,Cardenas Group,Government,Benin,,77123822.17269193,385.155061752974,2619.2339335572115,158318.52135888685,FixedIncome
FI01XN546OOI,Love-Garcia,Corporate,Netherlands,Transportation,3513706.929704123,676.3881515965679,2694.093002904918,,FixedIncome
FI01XX236AKI,Hamilton-Griffin,Government,Sudan,,5912758.003348128,624.6812273864819,266532.00023893116,47165.05271400472,FixedIncome
FI01YS409KXE,Vasquez LLC,Government,Macau,,2293060709.469013,1413.4492111682937,1165.233821561137,11180004.503955068,FixedIncome
FI01YS758TCD,Hobbs-Harvey,Corporate,Barbados,Materials,60931633.53378685,,64804.798928026816,,FixedIncome
FI01YT616SBM,"Hill, Brown and Scott",Government,Switzerland,,6833366.959541146,672.36046018069,423.05166327783706,465503.9535056941,FixedIncome
FI01YZ639QIE,Ortiz-Arnold,Corporate,Jordan,Diversified Financials,333301711.27574503,22201.969145538922,4000.587793913045,1074.052907491858,FixedIncome
FI01ZD380DQB,Collier-Dillon,Corporate,Australia,Transportation,5400217985.900731,1999.330961775464,469107.22261581384,235422.19832147687,FixedIncome
FI01ZG616FKD,Freeman-Yang,Corporate,Japan,Banks,432674610.9154212,3897.713802858563,6010.653469534155,17630.25671880761,FixedIncome
FI01ZS066RRZ,"Cruz, Grant and Acosta",Government,Mexico,,131705033.01966749,27903.124321585037,3345.2544739020354,,FixedIncome
FI01ZY396FRS,Stephenson-Blake,Government,Kazakhstan,,17350239265.183155,2107.6898943683805,,,FixedIncome
FI02AH667ETZ,"Ford, Jordan and Garcia",Government,Senegal,,2987745828.9937196,148.67197906599418,43887.29841768438,2825.4760330317845,FixedIncome
FI02AP349LNS,Hopkins LLC,Government,Egypt,,971924342.7822604,204001.5107241694,,703794.9626412346,FixedIncome
FI02AP713JEE,Morgan-French,Corporate,Mauritius,Health Care Equipment & Services,,,58981.78695268088,78.74915632056735,FixedIncome
FI02AW501ZSS,Short PLC,Corporate,Palestine,Consumer Services,1919961.0071920077,46074.78144096928,1231.826254032831,,FixedIncome
FI02BD633LRB,"Hall, Lewis and Maldonado",Government,Venezuela,,1093570833.6991627,86851.69930259428,6283.895644410905,,FixedIncome
FI02BO133KBW,Blake LLC,Government,Turkey,,3417198643.6256166,831.9199511503035,,,FixedIncome
FI02BU965JWU,Simmons PLC,Government,Ireland,,,29.075909275784475,1090.9208668214935,,FixedIncome
FI02CU315MJM,Pena-Henderson,Corporate,Colombia,Energy,694376.1238688116,37115.31776836825,95067.78109482444,94.7778412501299,FixedIncome
FI02DB490JNN,Navarro PLC,Government,Russian Federation,,1623593582.1147614,34.2812278119069,20000.908143128763,108067.06965631207,FixedIncome
FI02DJ699MLC,Monroe PLC,Government,Canada,,1333080762.3188715,1353105.0331045773,777.9725415627556,,FixedIncome
FI02DN331DZR,"Keith, Ford and Johnson",Government,Kenya,,180116397.49563023,194.83421735461965,,65481.801261639375,FixedIncome
FI02DT044JCJ,"Davis, Stanley and Wright",Corporate,Canada,Media & Entertainment,687386280.4950814,73896.86649867798,,,FixedIncome
FI02EG318LAG,Lee-Rogers,Government,United Kingdom,,168530945.2169708,4490.64912268265,3096.1667333703763,,FixedIncome
FI02EP662QUX,Lozano-Mccoy,Government,Hungary,,777314188.6885169,,364.3444854151805,397522.2206398699,FixedIncome
FI02EY385SNO,Wallace and Sons,Corporate,Gibraltar,Transportation,279031986.8323256,14730.367563545857,863.6873318679482,,FixedIncome
FI02FU169OIZ,"Hale, Calhoun and Martin",Corporate,Qatar,Software & Services,32873191.5792559,3096.2894066309145,9960.317690752072,77983.94172805037,FixedIncome
